state,year,pop_tot,pop_male_pcp,pop_white_pcp,pop_black_pcp,pop_hisp_pcp,empl_notinlabor_pcp,rentpct_median,rentpct_50plus_pcp,hmls_unshelt_pcp,hmls_shelt_pcp,shelter_beds_pcp,temp_degf,precip_in,illicit_pastmon_pcp,restriction,conservative,moderate,liberal,undecided,clusterpred
MA,2016,6811779,0.4853089038854608,0.7235792588103637,0.07438247776388518,0.11446290315642947,0.32606657168853004,29.8,0.23087749931665286,0.0001115714411756459,0.002766971741156018,0.0025517563033093118,28.5,2.48,0.12008610379168203,0,0.23,0.35,0.36,0.06,2
MA,2017,6859819,0.4859122376260948,0.7152614376560081,0.07753659389555322,0.11826726040439259,0.3328898688172959,29.7,0.23374962682347045,0.00014446445307084632,0.002416098733800411,0.0024219297914420193,31.5,4.03,0.1370298545777957,0,0.23,0.35,0.36,0.06,2
MA,2018,6902149,0.4854845932766737,0.7073764996959643,0.07787762912681254,0.12268352943409364,0.33240100882502743,29.9,0.23192624020757646,0.00014270917651879148,0.002764791081734109,0.0025079145640002844,24.5,4.5,0.13604458553415755,0,0.23,0.35,0.36,0.06,2
MA,2019,6892503,0.48539057581839284,0.7031068394166822,0.07887250828907873,0.123864291390225,0.3241112100495264,29.5,0.2288577601893646,0.00012027560960075026,0.0025595926472574623,0.002534928167604715,25.9,5.3,0.14624585582334892,0,0.23,0.35,0.36,0.06,2
MI,2011,9876187,0.4909462528402915,0.7630804276994755,0.14055414301086036,0.04530290890603833,0.3864594639712872,33.3,0.2887512392686603,0.00023500972591952745,0.0011000196735845523,0.001225979216472916,16.9,1.43,0.09001449648533387,0,0.35,0.33,0.24,0.08,0
MI,2012,9883360,0.4908683888879895,0.7612438482459406,0.1404744945038934,0.04602867850609509,0.38811152995035425,32.5,0.2755740636175419,0.0002349403441744508,0.001039120299169513,0.001196657816774862,25.1,2.22,0.09156804973207493,0,0.35,0.33,0.24,0.08,0
MI,2013,9895622,0.4909381138446881,0.7593891520917028,0.13927745016937793,0.04703281915982643,0.3878448538294823,31.4,0.26240286962709203,0.00022110787982806943,0.0009437506808566455,0.0011105921386245351,23,3.3,0.09640626935830815,0,0.35,0.33,0.24,0.08,0
MI,2014,9909877,0.4909502913103765,0.7569017254200027,0.13877003720631448,0.047941563755029455,0.3902381984043366,31.3,0.25654829184519273,0.00021715708479530069,0.0010166624671527204,0.0010739790211321493,12.3,2.21,0.09838669036961811,0,0.35,0.33,0.24,0.08,0
MI,2015,9922576,0.49151218393288193,0.7544834123719486,0.13888641417309375,0.04897639483940461,0.3903889239385182,30,0.2419700082799227,0.00010803646149951384,0.000951768976120717,0.001041765767276562,16.6,1.28,0.12758783606192586,0,0.35,0.33,0.24,0.08,0
MI,2016,9928300,0.49184855413313455,0.7528912301199601,0.13731817128813595,0.04949789994258836,0.3883470783657418,29.7,0.23862187410549324,0.00009669329089572232,0.0008416345195048498,0.0009327880906096714,22.3,1.73,0.10313951028877048,0,0.35,0.33,0.24,0.08,0
