year	state	hmls_es	hmls_th	hmls_sh	hmls_unsh	es	th	sh	rrh	psh	oph
2012	HI	1141	2560	25	2520	1490	2715	25		1263	
2012	IA	1164	1616	0	148	1540	2087	0		1046	
2012	ID	770	712	0	486	927	868	0		670	
2012	IL	4828	6229	92	2995	5789	7355	102		11517	
2012	IN	2934	2411	25	889	4058	3306	25		2605	
2012	KS	1317	1016	17	334	1727	1338	20		1203	
2012	KY	2132	2177	10	911	2224	2313	10		3507	
2012	LA	1375	2397	35	3965	2025	2979	37		3791	
2012	MA	12652	4074	53	722	10188	4540	54		10887	
2012	MD	3399	2451	92	3512	2786	2879	104		6260	
2012	ME	975	1373	12	33	1089	1571	15		2075	
2012	MI	5221	5015	34	2322	5938	5846	43		7458	
2012	MN	3684	3060	10	990	3597	3272	10		9459	
2012	MO	4683	3157	53	2344	4488	3710	55		4448	
2012	MS	486	556	0	1371	852	690	0		358	
2012	MT	716	437	0	680	687	724	0		510	
2012	NC	4641	4155	13	4715	5233	4825	13		4198	
2012	ND	474	161	0	53	567	157	0		496	
2012	NE	1581	1376	0	832	1688	1979	0		822	
2012	NH	769	555	5	167	675	669	9		878	
2012	NJ	8130	3280	19	1596	4826	3036	20		4616	
2012	NM	1380	1017	0	848	1418	1127	0		1684	
2012	NV	2503	1442	25	4527	2851	1754	25		2499	
2012	NY	53018	12302	162	4084	55176	13838	176		30302	
2012	OH	6277	5874	95	1731	6144	6257	98		12563	
2012	OK	2098	887	58	1989	2895	1059	59		1030	
2012	OR	2600	3926	19	9283	2671	4563	15		5675	
2012	PA	6946	6512	202	1076	7825	8016	209		10857	
2012	PR	357	926	63	1866	583	1539	77		1391	
2012	RI	805	426	18	28	689	456	17		1919	
2012	SC	1460	1304	12	2139	1846	2967	12		1627	
2012	SD	514	281	0	64	890	554	0		614	
2012	TN	2863	2895	20	3648	2887	3581	24		4288	
2012	TX	10055	7302	144	16551	13200	9529	151		10355	
2012	UT	1725	1280	47	475	1486	1485	49		1758	
2012	VA	4170	2774	51	1429	4022	3436	56		2902	
2012	VI	32	74	0	378	99	59	0		63	
2012	VT	562	369	6	223	566	409	6		515	
2012	WA	6053	8919	55	5477	6464	10447	55		8413	
2012	WI	2868	2517	61	581	3306	3014	64		2474	
2012	WV	1014	505	14	877	1189	672	13		1002	
2012	WY	231	244	0	1338	538	279	0		230	
2013	AK	1137	604	0	205	1204	691	0	0	792	
2013	AL	1555	1660	31	1443	1943	2095	34	5	2400	
2013	AR	1037	627	0	2148	1655	847	0	59	1006	
2013	AZ	3893	3500	38	3131	4173	4570	40	199	6785	
2013	CA	21928	23432	194	72998	16680	27977	207	547	41633	
2013	CO	4025	3543	23	2163	3153	4358	25	208	2996	
2013	CT	2390	1139	0	919	2158	1284	0	192	5817	
2013	DC	4010	2343	0	512	3856	2812	0	1186	6224	
2013	DE	516	410	10	10	552	698	10	3	552	
2013	FL	8755	10729	186	28192	9923	13337	178	854	14592	
2013	GA	4824	3686	0	8461	4336	4487	0	548	7053	
2013	GU	60	68	0	1143	109	84	0	0	144	
2013	HI	1226	2494	25	2590	1508	2579	25	0	1382	
2013	IA	1203	1747	0	134	1623	2141	0	64	1129	
2013	ID	745	659	0	377	922	840	0	234	778	
2013	IL	5160	5980	89	2196	5431	7223	95	38	11554	
2013	IN	3087	2285	24	700	3989	3187	25	557	2804	
2013	KS	1329	1044	9	311	1792	1308	20	0	1216	
2013	KY	2439	2042	10	754	2410	2371	10	179	3025	
2013	LA	1389	2228	34	1575	2053	2530	32	47	4732	
2013	MA	13962	4158	59	850	10439	4557	59	2992	11753	
2013	MD	3713	2471	99	1922	2856	3063	105	56	7223	
2013	ME	1090	1851	13	62	1198	2030	15	0	2204	
2013	MI	4927	4368	44	2188	5567	5380	43	395	7872	
2013	MN	4158	3131	10	915	3680	3306	10	130	10135	
2013	MO	3381	3069	51	2080	4026	3611	54	70	5239	
2013	MS	501	582	0	1320	878	881	0	64	511	
2013	MT	706	388	0	784	777	675	0	41	624	
2013	NC	5281	3732	0	3155	5964	4148	0	722	5368	
2013	ND	540	134	0	1395	575	154	0	0	570	
2013	NE	1532	1440	0	173	1705	1826	0	197	1044	
2013	NH	685	551	9	202	681	643	9	77	993	
2013	NJ	7224	3360	19	1399	4940	2942	20	383	4880	
2013	NM	1495	896	0	428	1397	1016	0	179	1536	
2013	NV	2496	1182	20	3341	2427	1477	25	0	2598	
2013	NY	61742	11375	156	4157	63065	12517	180	230	32282	
2013	OH	6336	4555	96	1338	6271	4999	98	1933	12863	
2013	OK	2301	915	46	1146	3003	1109	50	49	1112	
2013	OR	2800	3619	13	7390	3156	4208	15	543	5747	
2013	PA	6943	6555	229	1359	7793	7565	254	758	12304	
2013	PR	339	995	68	2726	481	1396	87	39	1740	
2013	RI	850	400	17	117	699	465	17	0	1615	
2013	SC	1677	1722	12	3133	1717	2155	12	265	1958	
2013	SD	433	322	0	339	980	608	0	0	614	
2013	TN	3421	2881	19	3207	3340	3596	24	19	4358	
2013	TX	9935	7456	134	12090	13088	9011	158	325	11392	
2013	UT	1773	1037	49	418	1602	1189	49	348	2035	
2013	VA	4285	2260	58	1022	3972	2855	68	1040	3272	
2013	VI	68	51	0	363	91	60	0	0	59	
2013	VT	959	307	4	184	1067	341	6	0	549	
2013	WA	5969	6684	54	5053	6554	8107	55	3835	9046	
2013	WI	3036	2638	62	368	3375	3042	64	220	2784	
2013	WV	1100	501	11	628	1278	672	13	17	1206	
2013	WY	292	209	0	452	596	309	0	0	198	
2014	AK	1139	500	0	145	1189	625	0	158	715	0
2014	AL	1851	1636	31	1043	1838	1852	34	53	2891	0
2014	AR	1021	482	0	1433	1466	685	0	157	923	22
2014	AZ	4291	3595	40	2569	4481	4352	40	557	7358	707
2014	CA	20964	21365	186	71437	17869	25959	207	3621	45580	2516
2014	CO	4002	4058	23	1945	3753	4688	25	388	3091	10
2014	CT	2481	1050	0	919	2238	1173	0	247	5705	0
2014	DC	5754	1598	0	396	5157	2124	0	2326	6414	0
2014	DE	435	429	0	37	552	620	0	130	598	0
2014	FL	10250	9469	132	21691	10286	11892	138	1702	15742	308
2014	GA	4441	3773	0	8307	4765	4491	0	521	6923	0
2014	GU	57	69	0	1230	102	84	0	0	102	0
2014	HI	1162	2626	25	3105	1492	2819	25	78	1220	0
2014	IA	1387	1539	0	196	1681	1962	0	264	1098	171
2014	ID	739	729	0	636	859	909	0	219	835	0
2014	IL	5031	6281	97	1698	5174	7407	95	625	12317	72
2014	IN	3376	2170	22	403	3796	3021	25	976	2947	46
2014	KS	1460	1064	10	249	1852	1316	20	232	1408	0
2014	KY	2382	1865	11	831	2198	2053	11	179	3077	0
2014	LA	1451	2030	22	1103	1976	2565	33	502	4596	25
2014	MA	16835	3576	67	759	11287	4114	70	2370	11948	146
2014	MD	3703	2469	95	1589	2818	3027	105	247	7145	215
2014	ME	1107	1515	11	93	1184	1531	15	60	2464	0
2014	MI	5513	4522	40	2152	5348	5239	56	586	8644	122
2014	MN	4414	3168	0	795	4041	3295	0	1707	10921	0
2014	MO	3521	2732	56	973	3882	3348	54	623	5659	90
2014	MS	732	673	0	821	763	844	0	62	530	0
2014	MT	471	440	0	834	746	591	0	102	564	0
2014	NC	5631	3243	0	2617	6008	3716	0	1667	5597	30
2014	ND	639	155	0	464	736	200	0	43	650	0
2014	NE	1584	1333	0	109	1735	1711	0	123	1033	125
2014	NH	710	526	7	133	739	650	9	184	1083	0
2014	NJ	7692	2989	55	935	4543	2998	20	1274	5724	12
2014	NM	1409	909	0	428	1375	950	0	159	1771	0
2014	NV	3582	1205	10	3785	3523	1627	25	0	2842	0
2014	NY	66893	9405	189	4103	68152	10151	203	966	34698	497
2014	OH	7043	3604	73	1103	6660	4026	73	3366	14211	0
2014	OK	2499	710	50	932	2962	868	50	32	1392	10
2014	OR	2767	3324	10	6063	2952	3962	10	931	5835	0
2014	PA	7733	6294	274	1032	8053	7587	282	1544	11862	2003
2014	PR	406	936	64	2726	589	1286	87	43	1988	0
2014	RI	803	345	22	20	759	449	17	0	1493	176
2014	SC	1782	1455	12	1808	1653	1808	12	353	1748	189
2014	SD	528	302	0	55	1154	593	0	60	526	71
2014	TN	4160	2206	17	3032	3628	3139	24	320	4563	97
2014	TX	10601	7494	133	10267	12942	9348	153	1404	12209	1440
2014	UT	1762	959	47	313	1535	1156	49	657	2264	6
