statecode	year	illicitusepastmon	illicitusepastmon_pcp
DC	2017	117000.0	0.16859469834517818
DC	2018	118000.0	0.16798229068054182
DC	2019	114000.0	0.16153051580661112
DC	2021	133000.0	0.19849264980225356
DC	2013	83000.0	0.12839373252955763
DC	2012	73000.0	0.11544732676179738
DC	2011	71000.0	0.11488747499983819
FL	2014	1552000.0	0.0780162282803097
FL	2015	2152000.0	0.10616008704337843
FL	2016	1696000.0	0.08228041329800903
FL	2017	1836000.0	0.08749356664951106
FL	2018	1931000.0	0.0906601500282286
FL	2019	2093000.0	0.09744974528741086
FL	2021	2179000.0	0.10004073250935397
FL	2013	1423000.0	0.07277707711301569
FL	2012	1352000.0	0.0699881061632603
FL	2011	1320000.0	0.06926391661631914
GA	2014	794000.0	0.07863454772210868
GA	2015	1052000.0	0.10298721666278343
GA	2016	791000.0	0.07671886879725279
GA	2017	711000.0	0.06817280300198122
GA	2018	821000.0	0.07804571996226048
GA	2019	899000.0	0.084672146904197
GA	2021	1100000.0	0.10185594495186195
GA	2013	771000.0	0.07716043977247378
GA	2012	593000.0	0.059778557239984695
GA	2011	517000.0	0.05267335085036388
HI	2014	110000.0	0.07748874475982363
HI	2015	147000.0	0.10268209831915692
HI	2016	119000.0	0.08330084133849752
HI	2017	111000.0	0.07775624887043286
HI	2018	119000.0	0.08377385002791288
HI	2019	136000.0	0.0960538805767753
HI	2021	126000.0	0.08740573534237035
HI	2013	117000.0	0.08333012832839763
HI	2012	109000.0	0.0782869943755463
HI	2011	95000.0	0.0691004575177661
ID	2014	102000.0	0.06240577950936821
ID	2015	152000.0	0.0918467850603953
ID	2016	123000.0	0.0730777000130708
ID	2017	125000.0	0.07280381468691739
ID	2018	134000.0	0.07638774877323555
ID	2019	148000.0	0.08281735695120211
ID	2021	184000.0	0.09679508323062007
ID	2013	89000.0	0.0552062605140013
ID	2012	92000.0	0.05765393600914442
ID	2011	118000.0	0.07444865408820904
IL	2014	1024000.0	0.07949952564247884
IL	2015	1339000.0	0.10412134685899956
IL	2016	997000.0	0.07788126099526002
IL	2017	1076000.0	0.08404921628402011
IL	2018	1179000.0	0.09253532667560364
IL	2019	1284000.0	0.10132718888626978
IL	2021	1726000.0	0.13621151580767787
IL	2013	934000.0	0.07250350970549524
IL	2012	931000.0	0.07230924746733171
IL	2011	910000.0	0.07071114195463779
IN	2014	497000.0	0.07533893044488624
IN	2015	760000.0	0.11480917506586422
IN	2016	549000.0	0.08276731695042991
IN	2017	621000.0	0.09314788554299817
IN	2018	658000.0	0.0983281524259707
IN	2019	700000.0	0.10397760381829528
IN	2021	740000.0	0.10872783292939964
IN	2013	430000.0	0.06544002634645898
IN	2012	457000.0	0.06990617276094506
IN	2011	479000.0	0.07350095643311368
IA	2014	162000.0	0.05213821389927541
IA	2015	235000.0	0.07522650380181946
IA	2016	176000.0	0.0561458490512468
IA	2017	212000.0	0.06739334923011046
IA	2018	247000.0	0.07826002924453725
IA	2019	242000.0	0.076701943221545
IA	2021	334000.0	0.1046012328539319
